county_id,population_density_2020,hospitalization_percent,er_visit_percent,hospital_to_er_ratio
1,10.71,0.0,0.0,0.0
2,35.04,0.0,0.0,0.0
3,121.68,0.0,0.0,0.0
4,27.09,2.0120481927710845,1.9375,1.0384764865915275
5,44.37,2.167415730337079,1.6653333333333333,1.3014906307068128
6,800.82,1.9853658536585368,1.8857142857142857,1.0528455284552847
7,4.55,0.0,0.0,0.0
8,97.03,1.9853658536585368,1.8857142857142857,1.0528455284552847
9,23.6,2.0120481927710845,1.9375,1.0384764865915275
10,3.26,2.2242105263157894,2.012987012987013,1.1049303904923597
11,77.92,0.0,0.0,0.0
12,3.22,0.0,0.0,0.0
13,36.99,2.0120481927710845,1.9375,1.0384764865915275
14,39.78,2.2057471264367816,2.010958904109589,1.0968633530646121
15,416.63,1.9148148148148147,1.9126582278481012,1.0011275338872956
16,18.28,2.167415730337079,1.6653333333333333,1.3014906307068128
17,1073.02,1.52,1.9223684210526315,0.7906913073237509
18,697.57,2.167415730337079,1.6653333333333333,1.3014906307068128
19,20.23,1.5466666666666666,1.8873239436619718,0.819502487562189
20,12.15,1.9853658536585368,1.8857142857142857,1.0528455284552847
21,34.19,2.2057471264367816,2.010958904109589,1.0968633530646121
22,4.71,0.0,0.0,0.0
23,68.5,2.2057471264367816,2.010958904109589,1.0968633530646121
24,8.0,2.0120481927710845,1.9375,1.0384764865915275
25,25.03,2.2057471264367816,2.010958904109589,1.0968633530646121
26,9.57,2.2242105263157894,2.012987012987013,1.1049303904923597
27,551.81,0.0,0.0,0.0
28,102.28,1.9148148148148147,1.9126582278481012,1.0011275338872956
29,74.86,1.9148148148148147,1.9126582278481012,1.0011275338872956
30,7.0,1.9853658536585368,1.8857142857142857,1.0528455284552847
31,396.81,1.9148148148148147,1.9126582278481012,1.0011275338872956
32,305.71,2.3974137931034485,2.323469387755102,1.031824996592613
33,18.75,2.2242105263157894,2.012987012987013,1.1049303904923597
34,408.02,2.2057471264367816,2.010958904109589,1.0968633530646121
35,16.82,1.9853658536585368,1.8857142857142857,1.0528455284552847
36,49.28,0.0,0.0,0.0
37,107.62,1.9148148148148147,1.9126582278481012,1.0011275338872956
38,22.22,0.0,0.0,0.0
39,59.78,1.5466666666666666,1.8873239436619718,0.819502487562189
