epiweek_id,week_start,week_end,season
202340,2023-10-01,2023-10-07,2023-2024
202341,2023-10-08,2023-10-14,2023-2024
202342,2023-10-15,2023-10-21,2023-2024
202343,2023-10-22,2023-10-28,2023-2024
202344,2023-10-29,2023-11-04,2023-2024
202345,2023-11-05,2023-11-11,2023-2024
202346,2023-11-12,2023-11-18,2023-2024
202347,2023-11-19,2023-11-25,2023-2024
202348,2023-11-26,2023-12-02,2023-2024
202349,2023-12-03,2023-12-09,2023-2024
202350,2023-12-10,2023-12-16,2023-2024
202351,2023-12-17,2023-12-23,2023-2024
202352,2023-12-24,2023-12-30,2023-2024
202401,2023-12-31,2024-01-06,2023-2024
202402,2024-01-07,2024-01-13,2023-2024
202403,2024-01-14,2024-01-20,2023-2024
202404,2024-01-21,2024-01-27,2023-2024
202405,2024-01-28,2024-02-03,2023-2024
202406,2024-02-04,2024-02-10,2023-2024
202407,2024-02-11,2024-02-17,2023-2024
202408,2024-02-18,2024-02-24,2023-2024
202409,2024-02-25,2024-03-02,2023-2024
202410,2024-03-03,2024-03-09,2023-2024
202411,2024-03-10,2024-03-16,2023-2024
202412,2024-03-17,2024-03-23,2023-2024
202413,2024-03-24,2024-03-30,2023-2024
202414,2024-03-31,2024-04-06,2023-2024
202415,2024-04-07,2024-04-13,2023-2024
202416,2024-04-14,2024-04-20,2023-2024
202417,2024-04-21,2024-04-27,2023-2024
202418,2024-04-28,2024-05-04,2023-2024
202419,2024-05-05,2024-05-11,2023-2024
202420,2024-05-12,2024-05-18,2023-2024
202421,2024-05-19,2024-05-25,2023-2024
202422,2024-05-26,2024-06-01,2023-2024
202423,2024-06-02,2024-06-08,2023-2024
202424,2024-06-09,2024-06-15,2023-2024
202425,2024-06-16,2024-06-22,2023-2024
202426,2024-06-23,2024-06-29,2023-2024
202427,2024-06-30,2024-07-06,2023-2024
202428,2024-07-07,2024-07-13,2023-2024
202429,2024-07-14,2024-07-20,2023-2024
202430,2024-07-21,2024-07-27,2023-2024
202431,2024-07-28,2024-08-03,2023-2024
202432,2024-08-04,2024-08-10,2023-2024
202433,2024-08-11,2024-08-17,2023-2024
202434,2024-08-18,2024-08-24,2023-2024
202435,2024-08-25,2024-08-31,2023-2024
202436,2024-09-01,2024-09-07,2023-2024
202437,2024-09-08,2024-09-14,2023-2024
202438,2024-09-15,2024-09-21,2023-2024
202439,2024-09-22,2024-09-28,2023-2024
202440,2024-09-29,2024-10-05,2024-2025
202441,2024-10-06,2024-10-12,2024-2025
202442,2024-10-13,2024-10-19,2024-2025
202443,2024-10-20,2024-10-26,2024-2025
202444,2024-10-27,2024-11-02,2024-2025
202445,2024-11-03,2024-11-09,2024-2025
202446,2024-11-10,2024-11-16,2024-2025
202447,2024-11-17,2024-11-23,2024-2025
202448,2024-11-24,2024-11-30,2024-2025
202449,2024-12-01,2024-12-07,2024-2025
202450,2024-12-08,2024-12-14,2024-2025
202451,2024-12-15,2024-12-21,2024-2025
202452,2024-12-22,2024-12-28,2024-2025
202501,2024-12-29,2025-01-04,2024-2025
202502,2025-01-05,2025-01-11,2024-2025
202503,2025-01-12,2025-01-18,2024-2025
202504,2025-01-19,2025-01-25,2024-2025
202505,2025-01-26,2025-02-01,2024-2025
202506,2025-02-02,2025-02-08,2024-2025
202507,2025-02-09,2025-02-15,2024-2025
202508,2025-02-16,2025-02-22,2024-2025
202509,2025-02-23,2025-03-01,2024-2025
202510,2025-03-02,2025-03-08,2024-2025
202511,2025-03-09,2025-03-15,2024-2025
202512,2025-03-16,2025-03-22,2024-2025
202513,2025-03-23,2025-03-29,2024-2025
202514,2025-03-30,2025-04-05,2024-2025
202515,2025-04-06,2025-04-12,2024-2025
202516,2025-04-13,2025-04-19,2024-2025
202517,2025-04-20,2025-04-26,2024-2025
202518,2025-04-27,2025-05-03,2024-2025
202519,2025-05-04,2025-05-10,2024-2025
202520,2025-05-11,2025-05-17,2024-2025
202521,2025-05-18,2025-05-24,2024-2025
202522,2025-05-25,2025-05-31,2024-2025
202523,2025-06-01,2025-06-07,2024-2025
202524,2025-06-08,2025-06-14,2024-2025
202525,2025-06-15,2025-06-21,2024-2025
202526,2025-06-22,2025-06-28,2024-2025
202527,2025-06-29,2025-07-05,2024-2025
202528,2025-07-06,2025-07-12,2024-2025
202529,2025-07-13,2025-07-19,2024-2025
202530,2025-07-20,2025-07-26,2024-2025
202531,2025-07-27,2025-08-02,2024-2025
202532,2025-08-03,2025-08-09,2024-2025
202533,2025-08-10,2025-08-16,2024-2025
202534,2025-08-17,2025-08-23,2024-2025
202535,2025-08-24,2025-08-30,2024-2025
202536,2025-08-31,2025-09-06,2024-2025
202537,2025-09-07,2025-09-13,2024-2025
202538,2025-09-14,2025-09-20,2024-2025
202539,2025-09-21,2025-09-27,2024-2025
202540,2025-09-28,2025-10-04,2025-2026
202541,2025-10-05,2025-10-11,2025-2026
202542,2025-10-12,2025-10-18,2025-2026
202543,2025-10-19,2025-10-25,2025-2026
202544,2025-10-26,2025-11-01,2025-2026
